"","SubjID","@1A","@1B","@1C","@1D","@1E","@2A","@2B","@2C","@2D","@2E","@3A","@3B","@3C","@3D","@3E","@4A","@4B","@4C","@4D","@4E","@5A","@5B","@5C","@5D","@5E","@6A","@6B","@6C","@6D","@6E","@7A","@7B","@7C","@7D","@7E","@8A","@8B","@8C","@8D","@8E","c1understandingothers","c2expcomm","c3assert","c4feedback","c5influence","c6dispute","c7teamwork","c8flex","OverallScore"
"98",98,1,3,4,1,3,4,1,1,1,2,1,3,1,2,1,3,3,3,4,4,3,2,3,4,4,2,3,3,2,3,3,1,3,1,3,3,2,3,3,2,48,36,32,68,64,52,44,52,49.5
"99",99,3,1,2,4,2,3,2,4,4,2,3,2,1,2,3,3,2,2,3,3,1,3,3,2,1,3,2,2,1,1,3,1,1,1,1,3,3,2,2,1,48,60,44,52,40,36,28,44,44
"100",100,4,2,4,4,4,4,3,2,3,4,3,3,4,3,4,4,3,3,1,4,2,3,4,3,3,3,1,1,1,1,1,1,1,1,1,3,3,2,1,3,72,64,68,60,60,28,20,48,52.5
"101",101,3,2,3,2,4,3,3,2,2,3,3,2,4,3,3,4,4,3,4,4,2,2,3,2,3,2,1,3,2,3,3,3,1,1,3,2,2,2,1,2,56,52,60,76,48,44,44,36,52
"102",102,2,2,2,2,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,3,1,1,3,3,1,1,40,32,20,20,20,24,36,36,28.5
"103",103,4,2,3,3,3,2,2,3,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,2,2,2,2,3,3,3,3,1,3,3,3,2,2,2,3,60,56,60,72,56,48,52,48,56.5
"104",104,3,3,4,4,3,4,2,2,2,3,3,2,4,3,4,4,4,3,3,2,3,3,3,3,4,3,2,3,2,1,1,1,3,3,3,1,3,3,3,1,68,52,64,64,64,44,44,44,55.5
"105",105,4,4,4,4,4,4,4,4,4,4,3,4,1,2,4,4,3,3,4,4,4,4,3,4,4,2,3,3,3,1,1,1,1,1,1,1,3,1,3,1,80,80,56,72,76,48,20,36,58.5
"106",106,3,3,3,4,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,3,1,3,1,1,3,3,3,1,3,1,1,1,2,2,3,64,56,52,60,44,36,44,36,49
"107",107,4,4,3,4,4,3,3,4,4,3,4,3,4,4,3,4,4,3,4,3,4,4,4,4,4,3,1,3,2,1,2,1,1,3,1,1,2,2,1,3,76,68,72,72,80,40,32,36,59.5
"108",108,3,3,2,4,4,3,3,2,4,3,2,1,4,4,3,4,4,4,2,4,4,3,4,3,4,3,1,2,2,1,3,3,2,1,1,1,2,1,3,1,64,60,56,72,72,36,40,32,54
"109",109,4,3,4,3,3,3,3,3,2,4,4,3,3,2,4,4,2,4,2,4,1,2,3,4,4,3,1,3,1,1,1,3,3,1,1,3,3,2,2,1,68,60,64,64,56,36,36,44,53.5
"110",110,4,4,2,3,4,3,4,3,3,4,3,4,3,3,4,4,4,3,3,2,2,3,4,4,2,3,1,3,1,1,1,1,2,1,1,3,3,1,3,1,68,68,68,64,60,36,24,44,54
"111",111,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,1,1,3,3,2,3,3,3,3,1,3,2,80,80,80,80,80,36,56,48,67.5
"112",112,4,4,2,3,4,2,3,4,4,3,1,4,4,4,4,4,2,3,1,4,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,68,64,68,56,72,60,60,60,63.5
"113",113,2,2,2,3,3,3,2,2,2,4,3,4,3,2,4,3,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,48,52,64,64,60,36,20,20,45.5
"114",114,3,2,3,3,3,3,2,2,3,2,2,2,3,3,3,4,2,2,2,3,2,2,2,2,2,3,3,1,2,1,1,3,1,2,1,2,3,3,1,1,56,48,52,52,40,40,32,40,45
"115",115,4,4,3,4,3,4,3,2,3,3,3,1,3,2,4,4,3,3,3,4,3,3,3,3,4,3,2,3,2,1,1,3,2,3,3,1,2,2,3,3,72,60,52,68,64,44,48,44,56.5
"116",116,4,3,4,3,4,4,3,4,4,3,4,2,3,4,4,4,4,4,4,4,4,4,3,3,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,72,72,68,80,72,28,20,20,54
"117",117,4,3,4,4,3,4,3,4,4,4,4,1,4,3,4,4,4,4,3,3,4,2,2,3,4,2,3,3,3,1,1,1,3,1,1,3,1,3,1,1,72,76,64,72,60,48,28,36,57
"118",118,3,2,1,4,3,4,3,4,4,1,2,3,2,3,4,4,4,3,3,4,4,4,4,2,3,3,2,3,3,3,3,1,3,1,3,1,1,3,3,2,52,64,56,72,68,56,44,40,56.5
"119",119,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,2,3,2,3,4,2,3,3,3,1,3,1,3,3,1,3,3,2,3,3,2,3,72,60,72,60,56,44,52,52,58.5
"120",120,4,1,4,3,1,3,3,2,3,3,4,1,4,3,4,4,4,1,4,4,4,4,3,2,4,3,1,3,1,1,1,1,3,3,3,3,3,3,3,3,52,56,64,68,68,36,44,60,56
"121",121,3,3,4,4,2,2,4,4,3,3,4,1,4,4,3,1,4,3,3,2,2,3,4,4,4,3,2,3,2,1,1,1,3,3,3,1,3,3,3,1,64,64,64,52,68,44,44,44,55.5
"122",122,4,3,4,4,4,4,3,4,4,4,4,1,4,3,4,3,4,3,2,4,4,4,3,4,4,2,3,3,3,1,1,1,1,1,1,1,3,1,3,1,76,76,64,64,76,48,20,36,57.5
"123",123,3,3,3,4,4,3,3,4,2,3,4,4,3,3,3,3,4,3,4,4,3,3,4,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,68,60,68,72,68,28,20,20,50.5
